,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,centroid_geometry,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
161,HU23,Dél-Dunántúl,Dél-Dunántúl,11839.130434782608,"POLYGON ((5000354.2793000005 2679127.101399999, 5006962.681500001 2662674.500499999, 5001184.6723 2653162.0746, 5006503.2151999995 2616857.6334000006, 5000525.4004999995 2595360.7942999993, 4997751.0397 2588945.4000000004, 5005134.648499999 2584964.6229, 5004436.5659 2574073.972100001, 4992314.4575 2570854.5414000005, 4976870.196 2552895.478599999, 4935711.286699999 2552486.5812999997, 4914925.3323 2556676.2138, 4906605.3597 2565130.4036999997, 4885838.4597 2569452.5403000005, 4873086.6699 2587383.3027, 4850286.352600001 2603109.4586999994, 4859713.0802 2603609.4244, 4872388.1909 2618419.467, 4874783.763 2647629.6613, 4887342.504899999 2654700.352, 4944472.0293000005 2685445.99, 4947193.1072 2664108.7454000004, 4973540.472200001 2666199.2304, 4982322.580499999 2659804.9398999996, 5000354.2793000005 2679127.101399999))",4939440.18289676,2613676.6756794425,POINT (4939440.18289676 2613676.6756794425),0.7012626908565031,Significant,0.032,3
162,HU31,Észak-Magyarország,Észak-Magyarország,11139.130434782608,"POLYGON ((5214660.069499999 2880853.8320000004, 5202212.2453000005 2864402.1164999995, 5172327.5966 2850838.6589, 5167066.0701 2834883.1516999993, 5147833.9409 2831013.5935999993, 5148465.328199999 2823363.1064999998, 5144903.7228999995 2801269.929199999, 5131557.0361 2787682.237400001, 5127433.0156 2785630.2820999995, 5103878.451400001 2759242.9761999995, 5067640.760199999 2778171.1109999996, 5046178.7619 2766903.340500001, 5040668.5054 2775017.3764999993, 5037028.672700001 2782124.8473000005, 5030716.373400001 2779712.848200001, 5022887.449100001 2789122.6809, 4996340.811799999 2793139.8674999997, 4989417.9202 2798613.4615, 4989563.7718 2807562.5239000004, 4985038.552200001 2811671.278999999, 4991117.540200001 2814757.4297, 5023066.9059 2821362.9685999993, 5033140.0437 2837783.9946999997, 5056502.7238 2830801.1158000007, 5066406.101399999 2834643.9049999993, 5082831.786800001 2850278.5398999993, 5092186.1017 2871555.9102999996, 5096670.961200001 2880330.4462, 5113251.3225 2886940.450200001, 5139860.5627999995 2883239.851500001, 5160506.845000001 2894264.901900001, 5175139.635199999 2887540.1904000007, 5187795.3454 2873616.8446999993, 5214660.069499999 2880853.8320000004))",5099745.3654223075,2826401.4999561915,POINT (5099745.3654223075 2826401.4999561915),0.8897928855806342,Significant,0.015,3
163,HU32,Észak-Alföld,Észak-Alföld,11213.04347826087,"POLYGON ((5203937.8378 2726154.8417000007, 5193606.174799999 2716674.929300001, 5177548.239800001 2719561.380000001, 5173005.097100001 2723415.2580999993, 5173656.0638999995 2734649.7411, 5150532.770099999 2741566.439099999, 5133933.1642 2715608.7784, 5132815.7159 2705015.930400001, 5116418.8792 2698979.934800001, 5114474.784 2688102.1976999994, 5099411.487400001 2684887.6904000007, 5086991.691 2684602.9159999993, 5090895.24 2698619.875499999, 5086596.6611 2707113.9760999996, 5082820.4966 2727367.9329000004, 5073625.1974 2742212.093800001, 5046178.7619 2766903.340500001, 5067640.760199999 2778171.1109999996, 5103878.451400001 2759242.9761999995, 5127433.0156 2785630.2820999995, 5131557.0361 2787682.237400001, 5144903.7228999995 2801269.929199999, 5148465.328199999 2823363.1064999998, 5147833.9409 2831013.5935999993, 5167066.0701 2834883.1516999993, 5172327.5966 2850838.6589, 5202212.2453000005 2864402.1164999995, 5214660.069499999 2880853.8320000004, 5216710.2202 2884027.4801000003, 5245374.840399999 2869473.728700001, 5255782.4899 2857341.838199999, 5271396.274499999 2858801.0791999996, 5279162.0724 2843993.0884000007, 5265326.113600001 2823592.646400001, 5250620.376800001 2820323.3676999994, 5234702.0461 2803933.776900001, 5232859.490499999 2796039.1740000006, 5229004.0033 2795171.6274999995, 5223868.521299999 2785747.5086000003, 5224077.5998 2771777.0878999997, 5203937.8378 2726154.8417000007))",5170818.288941266,2784475.5209137388,POINT (5170818.288941266 2784475.5209137388),1.028195638160384,Significant,0.002,3
164,HU33,Dél-Alföld,Dél-Alföld,12260.869565217392,"POLYGON ((5203937.8378 2726154.8417000007, 5193727.933599999 2682800.758199999, 5185074.5393 2675563.841600001, 5186387.257999999 2656902.1995, 5177950.009199999 2642042.2859000005, 5169434.151000001 2634028.9886000007, 5149175.4487 2633827.471999999, 5145578.1417 2620383.8599999994, 5112369.7859000005 2611777.776900001, 5109136.636299999 2611882.4968, 5081487.072000001 2610251.4306000005, 5068153.706700001 2612699.3713000007, 5058764.7513999995 2609142.2958000004, 5040491.776900001 2587133.3753999993, 5025668.993100001 2588163.2353000008, 5020111.755000001 2578739.2555, 5009623.0449 2575455.7397000007, 5004436.5659 2574073.972100001, 5005134.648499999 2584964.6229, 4997751.0397 2588945.4000000004, 5000525.4004999995 2595360.7942999993, 5006503.2151999995 2616857.6334000006, 5001184.6723 2653162.0746, 5006962.681500001 2662674.500499999, 5000354.2793000005 2679127.101399999, 5001218.0055 2698473.8268999998, 5021163.303400001 2711087.4947999995, 5029484.1691 2701931.6535, 5044200.829399999 2713593.263800001, 5064559.314200001 2698201.7782000005, 5086596.6611 2707113.9760999996, 5090895.24 2698619.875499999, 5086991.691 2684602.9159999993, 5099411.487400001 2684887.6904000007, 5114474.784 2688102.1976999994, 5116418.8792 2698979.934800001, 5132815.7159 2705015.930400001, 5133933.1642 2715608.7784, 5150532.770099999 2741566.439099999, 5173656.0638999995 2734649.7411, 5173005.097100001 2723415.2580999993, 5177548.239800001 2719561.380000001, 5193606.174799999 2716674.929300001, 5203937.8378 2726154.8417000007))",5091541.221629966,2660545.6287954263,POINT (5091541.221629966 2660545.6287954263),0.8706937433093769,Significant,0.005,3
175,ITF4,Puglia,Puglia,17127.272727272728,"MULTIPOLYGON (((4871066.9235 2038145.4593000002, 4916706.293400001 2024500.7424999997, 4945371.7378 2007500.8091000002, 4997784.5221 1986438.1316, 5009076.984999999 1972177.3040999994, 5036358.0600000005 1953000.1556000002, 5047056.4396 1935210.1534000002, 5040038.8453 1897526.3627000004, 5012732.480599999 1906756.7792000007, 5001030.778000001 1932282.6992000006, 4983093.549900001 1945002.7710999995, 4958764.711300001 1944070.6399000008, 4925586.6886 1963313.4715, 4905972.885 1948907.3000000007, 4892725.4396 1959471.5692999996, 4891046.5507 1982643.9609999992, 4876274.2553 1986260.0691, 4864542.1317 1981220.6164999995, 4849351.1789 1992850.9180999994, 4845180.2754 2001330.1586000007, 4832445.7345 2001862.0013999995, 4827927.6779 2015494.4630999994, 4815411.6855999995 2023628.6757999994, 4788523.5867 2012270.2522999998, 4764750.1173 2016977.0101999994, 4761897.897600001 2031119.7532000002, 4753814.5898 2034719.8154000007, 4740542.3081 2056664.1985, 4735270.600199999 2068633.1074, 4738047.3336 2071483.6610000003, 4743440.511499999 2077031.1659999993, 4747568.737600001 2081287.328400001, 4748383.586999999 2106070.6742000002, 4830757.238500001 2110584.3954000007, 4835299.050899999 2095492.0310999993, 4823917.128799999 2082945.4342999998, 4818816.494000001 2077346.1695000008, 4814797.4012 2072944.2610999998, 4826062.3496 2056175.3235999998, 4871066.9235 2038145.4593000002)), ((4785148.704299999 2133997.8937999997, 4778165.2477 2126133.2511, 4774044.579500001 2135593.2964999992, 4779819.052200001 2139236.6811999995, 4785148.704299999 2133997.8937999997)))",4880193.825072453,2012598.800021945,POINT (4880193.825072453 2012598.800021945),0.3900298781761785,Significant,0.021,3
176,ITF5,Basilicata,Basilicata,19850.0,"POLYGON ((4849351.1789 1992850.9180999994, 4864542.1317 1981220.6164999995, 4876274.2553 1986260.0691, 4891046.5507 1982643.9609999992, 4892725.4396 1959471.5692999996, 4905972.885 1948907.3000000007, 4889506.1939 1916502.2782000005, 4872211.9201 1916324.7087999992, 4869105.299000001 1907680.3215999994, 4861576.150699999 1893228.3067000005, 4842026.5693 1888927.5033999998, 4825070.091700001 1898015.3182999995, 4815169.1022 1888734.5168999992, 4804763.6351 1901170.2929999996, 4815456.552100001 1926536.1071000006, 4796160.7739 1947048.6838000007, 4772607.5743 1986622.170499999, 4787594.612600001 1996226.2430000007, 4788523.5867 2012270.2522999998, 4815411.6855999995 2023628.6757999994, 4827927.6779 2015494.4630999994, 4832445.7345 2001862.0013999995, 4845180.2754 2001330.1586000007, 4849351.1789 1992850.9180999994))",4838147.470723345,1954528.5786940658,POINT (4838147.470723345 1954528.5786940658),0.19215404156220875,Significant,0.043,3
177,ITF6,Calabria,Calabria,16027.272727272728,"POLYGON ((4927897.3654 1849464.5260000005, 4938635.331900001 1839975.3686999995, 4940608.1588 1817865.7272999994, 4943533.0726 1790716.9393000007, 4921369.322899999 1787169.8807999995, 4894990.8007 1766350.0688000005, 4898485.7995 1734482.4820000008, 4868413.207699999 1699541.8999000005, 4857705.5023 1672741.257099999, 4829210.8423 1668968.4295000006, 4819872.7623 1677949.8246999998, 4818706.810799999 1699115.271400001, 4832208.714 1711287.6974999998, 4840158.866 1733790.2212000005, 4833914.8345 1749839.578400001, 4857250.890000001 1759790.953400001, 4863490.236500001 1769259.0022, 4861940.204700001 1780357.5222999994, 4851084.487400001 1794642.0122999996, 4847279.212200001 1809757.3211000003, 4840939.8068 1833531.5840000007, 4823522.4122 1859471.5484999996, 4815169.1022 1888734.5168999992, 4825070.091700001 1898015.3182999995, 4842026.5693 1888927.5033999998, 4861576.150699999 1893228.3067000005, 4869105.299000001 1907680.3215999994, 4872211.9201 1916324.7087999992, 4889506.1939 1916502.2782000005, 4888023.262 1897779.0404000003, 4880008.396299999 1880664.9815999996, 4883934.5111 1867006.0111999996, 4927897.3654 1849464.5260000005))",4873500.146709926,1799175.1755604672,POINT (4873500.146709926 1799175.1755604672),0.44478391321766253,Significant,0.028,3
190,LT02,Vidurio ir vakarų Lietuvos regionas,Vidurio ir vakarų Lietuvos regionas,14613.04347826087,"POLYGON ((5298223.159499999 3769132.5767, 5303983.134400001 3764471.8214999996, 5314580.0447 3760461.810900001, 5339965.581499999 3740250.6402000003, 5356923.878900001 3740090.5593, 5358748.738299999 3705261.9953000005, 5372887.191400001 3701551.2083, 5375053.1280000005 3695401.1439999994, 5355222.576300001 3686487.0834, 5314465.947699999 3682258.8562000003, 5311171.763699999 3677812.225400001, 5315766.4418 3659568.9176000003, 5292953.5063000005 3652586.3803000003, 5283310.5546 3656645.0941000003, 5280466.741900001 3668547.742900001, 5253867.0044 3681654.0538, 5239781.7501 3695431.5241, 5239000.751800001 3688264.9243, 5228767.4088 3678703.0595999993, 5229784.396 3665824.1587000005, 5248169.154100001 3644825.9847, 5247602.7831999995 3636077.6592999995, 5261721.9781 3627711.569, 5248544.6778 3603683.1477000006, 5247189.7795 3584760.233100001, 5255800.5722 3575328.8542, 5283369.6548999995 3578860.9441, 5280131.025 3557733.6630000006, 5282724.105799999 3548285.2378000002, 5282972.169199999 3530809.1831, 5272611.862299999 3529369.2825000007, 5261051.8105999995 3516026.4935, 5245496.4375 3519336.5999, 5202339.4189 3510354.4520999994, 5197596.609200001 3528649.343699999, 5183759.5777 3540551.7379, 5158264.859999999 3550977.0933999997, 5147704.3763999995 3546424.1741000004, 5137376.861300001 3567537.7145000007, 5143188.505899999 3597127.1797, 5120797.056700001 3621728.9948999994, 5089386.7106 3613036.3468999993, 5059830.3111000005 3623763.2136000004, 5041062.885199999 3631926.0622000005, 5034954.090299999 3627178.4388999995, 5028328.555199999 3652925.3059, 5017078.109300001 3670767.8319000006, 5010603.632099999 3693138.2935000006, 5007410.6272 3715789.812999999, 5014209.666300001 3718413.1132999994, 5018221.040999999 3730595.8268999998, 5031814.387 3745736.336100001, 5057503.611199999 3759611.2509000003, 5065118.8345 3765585.9137999993, 5097787.3825 3764687.1994000003, 5110997.2875 3767065.3600999992, 5114449.1548999995 3771206.5187, 5124412.2634 3764274.2004000004, 5135897.006899999 3772192.6401000004, 5165130.3303 3776710.816299999, 5192242.198100001 3769546.0725, 5214569.148700001 3777252.790100001, 5220525.229800001 3790767.3960999995, 5232416.746300001 3797589.4573, 5251877.8992 3774662.74, 5285477.9057 3774744.9538000003, 5298223.159499999 3769132.5767))",5181664.573517292,3673425.2060830686,POINT (5181664.573517292 3673425.2060830686),0.5293196269111542,Significant,0.041,3
193,ME00,Црна Гора,Crna Gora,12129.411764705883,"POLYGON ((5066457.268100001 2314658.2445, 5106789.8215 2282470.6163, 5141136.5436 2266081.0558, 5154804.1558 2261621.0183000006, 5163926.8171 2257782.8344, 5166993.0154 2250206.426000001, 5144920.608200001 2236999.2073999997, 5148863.4552 2225227.3227999993, 5148385.4728999995 2216598.8893999998, 5129579.17 2204098.7522, 5119512.2916 2221331.400800001, 5119326.2574000005 2221650.6213000007, 5118871.689200001 2221247.9744000006, 5110618.283500001 2213952.4867000002, 5101050.230799999 2193020.534600001, 5091154.828 2171569.6834999993, 5097477.099300001 2157026.7430000007, 5098531.9059999995 2146315.308700001, 5100056.775800001 2130793.9449000005, 5083149.0449 2139469.7773, 5080787.0305 2144121.0287999995, 5079059.6764 2147525.935799999, 5057992.921499999 2167531.7641000003, 5055150.114399999 2170244.9089, 5042554.8127 2174579.4590000007, 5036516.6247000005 2185195.161699999, 5033138.4607 2184804.4702000003, 5027757.287900001 2184186.0119000003, 5023279.372199999 2185927.997300001, 5014573.7599 2200024.6327, 5021474.194700001 2209358.1493999995, 5023849.306700001 2212579.6646999996, 5014091.099099999 2227654.7019999996, 5014921.420600001 2247373.3603000008, 5025697.396299999 2256690.5177999996, 5027256.063200001 2278126.6701999996, 5041844.138900001 2290895.6104000006, 5052510.517100001 2284537.9941000007, 5056216.889 2288969.3167000003, 5046006.6576000005 2304587.2498000003, 5047409.231000001 2310560.5472999997, 5049489.3133000005 2313162.7760000005, 5066457.268100001 2314658.2445))",5078164.600624691,2233039.209178761,POINT (5078164.600624691 2233039.209178761),1.372079474797144,Significant,0.001,3
194,MK00,Северна Македонија,Severna Makedonija,9072.727272727272,"POLYGON ((5338319.639799999 2217739.3945000004, 5347083.1272 2208875.056500001, 5353216.907500001 2202689.0275, 5384665.1899 2193093.2741, 5386732.309 2189252.3827, 5400298.4487 2164124.8358999994, 5401199.1895 2156136.3476, 5401780.178200001 2150974.1735999994, 5401767.5221 2139536.8017999995, 5401576.043400001 2119111.646400001, 5397537.215500001 2118650.8937999997, 5389623.635399999 2113613.7530000005, 5387760.6504 2096795.603599999, 5360593.454 2089236.6214000005, 5355938.123199999 2086869.9175000004, 5345487.9179 2090787.7475000005, 5322792.8606 2079259.303200001, 5313654.692500001 2058838.0856999997, 5247352.797800001 2040320.5046999995, 5234386.400699999 2046491.7477000002, 5225902.491900001 2045625.2804000005, 5218147.243000001 2059945.0701000001, 5211962.695699999 2061668.541099999, 5200756.984200001 2085264.6585000008, 5202717.372099999 2095259.0600000005, 5195408.3268 2109825.944700001, 5201644.286499999 2114995.650699999, 5200292.4789 2119235.7039, 5198696.782299999 2124244.0787000004, 5196828.9519 2130111.2062, 5198279.4438000005 2144087.0679, 5200419.919600001 2147880.021299999, 5212668.2478 2151185.2325, 5211620.758400001 2161517.8852999993, 5212658.4493 2166271.073999999, 5236971.7531 2187832.7803000007, 5247774.643999999 2180924.943, 5264708.4410999995 2197420.479800001, 5266345.766000001 2201595.988500001, 5276030.969699999 2202300.501599999, 5329282.411900001 2220544.4876000006, 5338319.639799999 2217739.3945000004))",5296081.967065696,2131362.683613372,POINT (5296081.967065696 2131362.683613372),1.5555263956239653,Significant,0.001,3
195,MT00,Malta,Malta,23456.521739130436,"MULTIPOLYGON (((4737037.6128 1433526.4469000008, 4732202.788899999 1429198.6625999995, 4720075.754000001 1432478.6195, 4715969.555 1436551.7762000002, 4714931.888599999 1445513.9364999998, 4719402.549900001 1445908.2019999996, 4737037.6128 1433526.4469000008)), ((4714038.0638 1454698.3487, 4709037.597100001 1448794.9312999994, 4700405.1216 1451675.5812999997, 4699915.7926 1455690.2865999993, 4707306.5978999995 1457988.2663000003, 4714038.0638 1454698.3487)))",4719184.908440145,1441876.9771781806,POINT (4719184.908440145 1441876.9771781806),0.009992712509775797,Significant,0.047,3
214,PL21,Małopolskie,Małopolskie,14747.826086956522,"POLYGON ((5080508.3136 3065872.6415999997, 5089303.5375 3076415.6544000003, 5115170.2829 3087891.115599999, 5118635.1119 3045488.9082999993, 5130015.9154 3032463.0824999996, 5132115.8138999995 3029218.397399999, 5127204.3091 3024500.6137000006, 5135093.7357 3016662.6350999996, 5144084.4395 2988537.182600001, 5124653.614600001 2983613.4823000003, 5113089.079399999 2970105.7928, 5088278.376800001 2978299.3541, 5085356.475400001 2974176.5219, 5074314.2852 2974833.6470999997, 5057941.907500001 2963557.7283999994, 5053038.0897 2948601.2980000004, 5038951.0986 2947340.4475, 5031565.558499999 2948045.7782000005, 5028962.2159 2966588.467, 5019683.154200001 2967925.1756999996, 5003133.9341 2988592.054199999, 4997115.4695999995 3005944.430400001, 4971687.6469 3023075.2787999995, 4980654.0923999995 3044128.498299999, 4987530.6172 3049579.5617999993, 4988480.5035999995 3063667.6379000004, 4995127.930199999 3074647.7217999995, 5018055.070699999 3082734.8215999994, 5021085.6899 3086494.7898999993, 5024412.8838 3091535.7601999994, 5042179.4418 3092434.2323000003, 5047628.4946 3090179.3122000005, 5054695.324100001 3070973.3336999994, 5062096.198100001 3061628.7874999996, 5080508.3136 3065872.6415999997))",5057271.113607398,3023255.2776764384,POINT (5057271.113607398 3023255.2776764384),0.7449472428204748,Significant,0.001,3
215,PL22,Śląskie,Śląskie,17239.130434782608,"POLYGON ((4967352.926100001 3143773.6854999997, 4974469.314099999 3143255.3137, 4986056.284 3131000.9442999996, 5004869.150699999 3129485.9338000007, 5008256.7107 3122484.4121000003, 5004494.466600001 3114059.7521, 5013454.604900001 3110192.8168, 5016657.122300001 3097507.9903999995, 5024412.8838 3091535.7601999994, 5021085.6899 3086494.7898999993, 5018055.070699999 3082734.8215999994, 4995127.930199999 3074647.7217999995, 4988480.5035999995 3063667.6379000004, 4987530.6172 3049579.5617999993, 4980654.0923999995 3044128.498299999, 4971687.6469 3023075.2787999995, 4997115.4695999995 3005944.430400001, 5003133.9341 2988592.054199999, 4984043.384400001 2964241.099300001, 4972067.938200001 2961796.4891999997, 4966713.063999999 2971428.8024000004, 4960290.233100001 2972378.4113999996, 4954862.4827 2987595.3298000004, 4940342.5604 2996132.5132, 4935450.206499999 3013499.7408000007, 4917489.4924 3013445.002699999, 4895030.487 3026304.2892000005, 4895474.7478 3038547.4979999997, 4920500.514699999 3049702.5117000006, 4914856.3136 3073149.9375, 4919596.888499999 3082284.1011999995, 4929464.558 3084498.195699999, 4919947.048 3098883.7885, 4926116.7974 3118142.6460999995, 4927441.4178 3141101.5847999994, 4944071.7644 3146570.1129, 4962988.679500001 3139301.1681999993, 4967352.926100001 3143773.6854999997))",4959817.427777003,3062991.6939089564,POINT (4959817.427777003 3062991.6939089564),0.463787265468124,Significant,0.004,3
216,PL41,Wielkopolskie,Wielkopolskie,17634.782608695652,"POLYGON ((4823754.297499999 3318046.9833000004, 4840704.1241 3306894.3093, 4850330.6055 3309565.0122999996, 4875605.416099999 3296760.1296999995, 4887969.366699999 3302500.8588999994, 4915962.3443 3284620.5777000003, 4935890.8847 3285311.678200001, 4938310.4144 3274137.9288999997, 4924698.122400001 3253777.3490999993, 4918452.324100001 3251197.5108000003, 4921268.387599999 3236315.3993999995, 4918185.075099999 3227781.3556999993, 4903249.142899999 3227301.2530000005, 4898598.182 3205074.542300001, 4900459.412599999 3183136.9795999993, 4883915.4725 3168339.536800001, 4890580.1066 3149792.3606000002, 4875772.7820999995 3141021.2622999996, 4864736.108100001 3149378.4788000006, 4856832.6197 3168967.4658000004, 4844159.8234 3175393.489, 4842132.337300001 3190740.8937999997, 4822425.5953 3195224.9541999996, 4814968.5857 3187298.2172, 4793618.3748 3184529.8509, 4776984.0767 3203141.7216999996, 4763099.843800001 3205525.5647, 4757115.9245 3214859.4996000007, 4745340.5812 3215782.8698999994, 4722200.629899999 3237960.6192000005, 4721762.516100001 3258512.043299999, 4720262.1129 3276778.989, 4712464.148 3299087.3483000007, 4722012.3168 3310414.1619000006, 4720426.797900001 3342288.0327000003, 4737756.0363 3343305.1264999993, 4757163.216499999 3363349.244000001, 4764179.214299999 3375043.4054000005, 4752397.716600001 3384515.0930000003, 4751191.506200001 3391185.9821000006, 4762504.6263999995 3397331.2902000006, 4768361.625600001 3410845.8353000004, 4775949.1953 3415916.7786999997, 4783748.893200001 3402819.601, 4810611.8617 3400891.4113, 4805014.182600001 3388087.4683, 4816362.7530000005 3376464.5408999994, 4810830.0634 3368501.6855999995, 4812030.315300001 3345786.0153, 4825617.4496 3335008.7698, 4823754.297499999 3318046.9833000004))",4814098.957340836,3271032.9989754357,POINT (4814098.957340836 3271032.9989754357),0.39001440833169265,Significant,0.006,3
220,PL52,Opolskie,Opolskie,13304.347826086956,"POLYGON ((4864736.108100001 3149378.4788000006, 4875772.7820999995 3141021.2622999996, 4890580.1066 3149792.3606000002, 4927441.4178 3141101.5847999994, 4926116.7974 3118142.6460999995, 4919947.048 3098883.7885, 4929464.558 3084498.195699999, 4919596.888499999 3082284.1011999995, 4914856.3136 3073149.9375, 4920500.514699999 3049702.5117000006, 4895474.7478 3038547.4979999997, 4895030.487 3026304.2892000005, 4882444.991900001 3016380.1569999997, 4866907.760299999 3031630.456599999, 4872009.738600001 3040242.4562999997, 4870767.4691 3048273.7634999994, 4849853.547 3042644.7591999993, 4810829.4825 3060614.4891999997, 4821056.3116 3065901.5308999997, 4827217.912599999 3080535.9580000006, 4831441.4606 3083301.4507999998, 4851036.779200001 3144713.283, 4864736.108100001 3149378.4788000006))",4878381.956565297,3089693.366168216,POINT (4878381.956565297 3089693.366168216),0.683288585459116,Significant,0.015,3
221,PL61,Kujawsko-pomorskie,Kujawsko-pomorskie,13669.565217391304,"POLYGON ((4923774.5198 3424768.466600001, 4938050.032400001 3406243.3007999994, 4963509.223099999 3399123.9649, 4971833.185799999 3382022.0867999997, 4966677.3486 3374481.325200001, 4969568.7508000005 3360491.0853000004, 4953942.8813000005 3355720.1097, 4960169.2238 3335401.556, 4951388.194 3294005.5461999997, 4935890.8847 3285311.678200001, 4915962.3443 3284620.5777000003, 4887969.366699999 3302500.8588999994, 4875605.416099999 3296760.1296999995, 4850330.6055 3309565.0122999996, 4840704.1241 3306894.3093, 4823754.297499999 3318046.9833000004, 4825617.4496 3335008.7698, 4812030.315300001 3345786.0153, 4810830.0634 3368501.6855999995, 4816362.7530000005 3376464.5408999994, 4805014.182600001 3388087.4683, 4810611.8617 3400891.4113, 4813749.123400001 3412597.4539, 4827259.2677 3412799.7206999995, 4832992.2743 3424143.474199999, 4851908.4188 3437817.764799999, 4869214.1008 3430088.387700001, 4894423.510199999 3432392.7365000006, 4899411.0383 3423607.2138, 4923774.5198 3424768.466600001))",4888867.127323918,3362193.944421921,POINT (4888867.127323918 3362193.944421921),0.6697619506907405,Significant,0.009,3
222,PL62,Warmińsko-mazurskie,Warmińsko-mazurskie,11856.521739130434,"POLYGON ((4988318.1765 3525040.8861999996, 5069607.537900001 3528478.2787999995, 5147704.3763999995 3546424.1741000004, 5133379.432600001 3525194.5746, 5154584.837099999 3497224.1615999993, 5153829.279200001 3482693.2179000005, 5121212.2302 3449086.6767999995, 5103762.7162 3437565.316400001, 5088237.967499999 3436418.407400001, 5084278.8378 3435473.022500001, 5030366.127 3403591.111300001, 5013803.0557 3394924.2564000003, 5003739.284 3386054.3850999996, 4978978.3336 3388229.9859999996, 4971833.185799999 3382022.0867999997, 4963509.223099999 3399123.9649, 4938050.032400001 3406243.3007999994, 4923774.5198 3424768.466600001, 4933808.0998 3449374.8961999994, 4942460.011700001 3452180.522, 4946059.7809 3463992.5286, 4936415.822799999 3466372.9361000005, 4922008.0495 3483837.1378000006, 4926240.132999999 3494308.0824999996, 4922206.6141 3502100.9487999994, 4932099.4397 3503108.2881000005, 4954962.0809 3524883.5679, 4988318.1765 3525040.8861999996))",5030485.168418661,3470083.8759047203,POINT (5030485.168418661 3470083.8759047203),0.773840743345775,Significant,0.012,3
223,PL63,Pomorskie,Pomorskie,16013.04347826087,"POLYGON ((4901276.725 3508415.4630999994, 4926344.5973000005 3512935.2262999993, 4944144.0932 3525202.9132000003, 4944795.673599999 3524700.1280000005, 4921658.7907 3508604.8945000004, 4922206.6141 3502100.9487999994, 4926240.132999999 3494308.0824999996, 4922008.0495 3483837.1378000006, 4936415.822799999 3466372.9361000005, 4946059.7809 3463992.5286, 4942460.011700001 3452180.522, 4933808.0998 3449374.8961999994, 4923774.5198 3424768.466600001, 4899411.0383 3423607.2138, 4894423.510199999 3432392.7365000006, 4869214.1008 3430088.387700001, 4851908.4188 3437817.764799999, 4832992.2743 3424143.474199999, 4827259.2677 3412799.7206999995, 4813749.123400001 3412597.4539, 4810611.8617 3400891.4113, 4783748.893200001 3402819.601, 4775949.1953 3415916.7786999997, 4773596.9070999995 3437660.005999999, 4779151.2842999995 3444086.980900001, 4765919.850400001 3451844.6153999995, 4760172.926200001 3475489.4229000006, 4766186.030200001 3483990.4845000003, 4764624.8048 3498772.1887, 4753691.1339 3515984.9076000005, 4787747.3267 3537315.0754000004, 4813353.057 3545894.5317, 4855128.314099999 3555562.9192999993, 4871927.0243 3530224.727600001, 4878866.957900001 3512984.6656, 4901276.725 3508415.4630999994))",4840623.530384184,3477869.52757397,POINT (4840623.530384184 3477869.52757397),0.5200091354077198,Significant,0.008,3
224,PL71,Łódzkie,Łódzkie,15356.521739130434,"POLYGON ((4951388.194 3294005.5461999997, 4977930.870100001 3282775.296, 4996398.107100001 3289545.039999999, 5018030.318 3272193.6975, 5025500.5579 3255288.7432000004, 5046571.437100001 3246082.0976, 5051695.507099999 3231598.9726, 5037099.4704 3221210.7576, 5039892.989499999 3217534.0304000005, 5047279.075999999 3204947.8484000005, 5045154.001700001 3188348.0420999993, 5035145.1458 3174031.7014000006, 5020054.683599999 3165293.3573000003, 5023356.678099999 3145975.1181000005, 5011861.2149 3148406.257200001, 5004869.150699999 3129485.9338000007, 4986056.284 3131000.9442999996, 4974469.314099999 3143255.3137, 4967352.926100001 3143773.6854999997, 4962988.679500001 3139301.1681999993, 4944071.7644 3146570.1129, 4927441.4178 3141101.5847999994, 4890580.1066 3149792.3606000002, 4883915.4725 3168339.536800001, 4900459.412599999 3183136.9795999993, 4898598.182 3205074.542300001, 4903249.142899999 3227301.2530000005, 4918185.075099999 3227781.3556999993, 4921268.387599999 3236315.3993999995, 4918452.324100001 3251197.5108000003, 4924698.122400001 3253777.3490999993, 4938310.4144 3274137.9288999997, 4935890.8847 3285311.678200001, 4951388.194 3294005.5461999997))",4970949.469698385,3208088.058257188,POINT (4970949.469698385 3208088.058257188),0.5057229821879139,Significant,0.015,3
