,NUTS_ID,NUTS_NAME,NAME_LATN,GDP_VALUE,geometry,centroid_lon,centroid_lat,LISA_VALUE,LISA_sig,LISA_p_values,LISA_quadrant
10,AT33,Tirol,Tirol,34317.391304347824,"MULTIPOLYGON (((4527096.498 2619689.6187999994, 4510728.830499999 2621660.5086000003, 4485878.6379 2647206.7284999993, 4484113.6426 2656286.2589, 4491314.129799999 2664310.289000001, 4507900.1439 2674011.7488, 4522751.2612 2668742.613, 4545432.259400001 2636324.135500001, 4529855.1293 2627740.1578, 4527096.498 2619689.6187999994)), ((4514603.5298 2727668.8101000004, 4522549.8906 2710770.4014, 4506106.080399999 2694248.4121000003, 4480015.202199999 2685979.1785000004, 4483320.7127 2665352.2216, 4456112.798800001 2653784.0874000005, 4444821.7107 2656889.1414, 4409680.1316 2650942.1194, 4396954.326400001 2629033.0062000006, 4371723.8826 2639102.1962, 4356848.7469999995 2638051.4913, 4356980.1711 2646951.0858999994, 4351049.216600001 2652336.4122, 4332066.8737 2637515.7503999993, 4329768.966499999 2646737.3989000004, 4337149.083000001 2671547.4711000007, 4334506.5766 2684074.9562, 4353847.0923 2698354.5829000007, 4355225.3652 2715902.9925999995, 4387765.814200001 2714092.2085999995, 4395879.224099999 2698559.6253999993, 4397789.8456999995 2698611.856899999, 4428275.4441 2704501.090399999, 4427326.055500001 2710091.6841, 4438610.219900001 2713203.2347999997, 4443880.2947 2721225.526799999, 4475984.664100001 2724949.8110000007, 4484143.8027 2725439.602600001, 4484982.354800001 2730607.0041000005, 4486207.440199999 2734939.1503, 4496572.345000001 2734271.410700001, 4505273.5417 2731242.8058, 4508981.8518 2727309.464299999, 4514603.5298 2727668.8101000004)))",4434653.894274605,2677589.302845694,1.1756692531678463,Significant,0.001,1
11,AT34,Vorarlberg,Vorarlberg,35321.739130434784,"POLYGON ((4332066.8737 2637515.7503999993, 4314190.225500001 2646299.66, 4309306.0156 2655629.7525999993, 4291125.0428 2660883.3062999994, 4292201.6435 2670971.976399999, 4285464.4256 2684223.103700001, 4295362.803099999 2698921.9991999995, 4287756.7698 2714352.1854, 4318575.4584 2714736.6659999993, 4320964.2509 2707711.6807000004, 4329640.4778 2695636.535599999, 4335951.102499999 2694906.7807, 4334506.5766 2684074.9562, 4337149.083000001 2671547.4711000007, 4329768.966499999 2646737.3989000004, 4332066.8737 2637515.7503999993))",4312704.148095902,2680305.7792910836,1.698549152602832,Significant,0.001,1
12,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,57515.78947368421,"POLYGON ((3918539.9000000004 3093738.3158, 3919617.4396 3102383.1011999995, 3929927.3838 3102384.6772000007, 3932557.7106999997 3090371.024, 3925197.512 3087208.680400001, 3918539.9000000004 3093738.3158))",3925455.712514048,3095520.7917395467,3.141762338207086,Significant,0.042,1
13,BE21,Prov. Antwerpen,Prov. Antwerpen,37735.0,"POLYGON ((3957506.818499999 3167694.4761999995, 3964175.1262999997 3159537.9498999994, 3976686.7293 3162365.153999999, 3980658.9135 3157888.2239999995, 3980657.8693000004 3148906.1724999994, 3988851.4396 3138673.9134, 3989654.5253999997 3125837.1207999997, 3969295.0646 3114697.535, 3955878.9864000008 3116088.9735000003, 3937266.6898 3112244.1845999993, 3917526.6973 3118742.8022000007, 3913536.4058999997 3126243.706599999, 3922957.1917000003 3128159.4564999994, 3920366.332800001 3153922.6905000005, 3920660.2127 3156217.704, 3923161.9311999995 3156164.4332, 3930822.8017999995 3154475.330499999, 3932754.5588000007 3163330.3485000003, 3938554.2918999996 3165471.1786, 3950633.7397000007 3159702.9375, 3957506.818499999 3167694.4761999995))",3952481.7304553394,3137863.0476820827,1.3454483532757422,Significant,0.004,1
14,BE22,Prov. Limburg (BE),Prov. Limburg (BE),26085.0,"MULTIPOLYGON (((4031283.6809 3079646.3924000002, 4025883.6818000004 3075418.9510999992, 4016501.8027 3080744.5735, 4023087.5435000006 3082262.0818000007, 4031283.6809 3079646.3924000002)), ((4017252.1834999993 3086772.5351, 3998616.4363 3077635.5416, 3984946.9334999993 3079341.1854999997, 3975414.3343 3077940.645199999, 3981135.1241999995 3097893.380000001, 3974617.6247000005 3103219.0020000003, 3977755.5764000006 3112821.5955999997, 3969295.0646 3114697.535, 3989654.5253999997 3125837.1207999997, 3988851.4396 3138673.9134, 4007308.7458999995 3140154.5013999995, 4011459.8396000005 3132703.4902999997, 4026691.607000001 3125211.9022000004, 4026610.5578000005 3113861.8872999996, 4024033.4265 3108310.8542, 4016424.718699999 3093692.2059000004, 4017252.1834999993 3086772.5351)))",4000280.266223522,3107420.3334807516,0.1774215073683386,Significant,0.007,1
15,BE23,Prov. Oost-Vlaanderen,Prov. Oost-Vlaanderen,29085.0,"POLYGON ((3920366.332800001 3153922.6905000005, 3922957.1917000003 3128159.4564999994, 3913536.4058999997 3126243.706599999, 3917526.6973 3118742.8022000007, 3910370.9070999995 3111779.246099999, 3900818.1709000003 3092366.6763000004, 3890599.4667000007 3086994.191299999, 3885115.6599000003 3089441.899599999, 3882297.8422 3089365.112400001, 3865687.0146999992 3089223.4005999994, 3860314.060799999 3093300.2357, 3863547.7203 3097601.5012999997, 3862109.1016000006 3108360.1833999995, 3858911.353 3109635.6074, 3861710.3331000004 3119395.4617, 3854609.535700001 3131033.4789000005, 3860769.2536999993 3137293.205, 3859809.09 3150168.8783, 3871681.2228999995 3150919.9377999995, 3885421.4277 3147037.0766000003, 3892268.487299999 3140257.5569, 3900841.3057000004 3141114.0470000003, 3919814.3946 3153328.4564999994, 3920366.332800001 3153922.6905000005))",3887026.15345575,3121032.0218992676,0.42491513245332857,Significant,0.005,1
16,BE24,Prov. Vlaams-Brabant,Prov. Vlaams-Brabant,33521.05263157895,"POLYGON ((3975414.3343 3077940.645199999, 3969815.4625000004 3082969.7423, 3950947.833799999 3089445.1569999997, 3940202.0856999997 3086499.6657999996, 3915210.3296000008 3080759.5932, 3908080.0058999993 3084449.9136999995, 3904759.061899999 3082815.9409999996, 3893996.043299999 3082090.7793000005, 3890599.4667000007 3086994.191299999, 3900818.1709000003 3092366.6763000004, 3910370.9070999995 3111779.246099999, 3917526.6973 3118742.8022000007, 3937266.6898 3112244.1845999993, 3955878.9864000008 3116088.9735000003, 3969295.0646 3114697.535, 3977755.5764000006 3112821.5955999997, 3974617.6247000005 3103219.0020000003, 3981135.1241999995 3097893.380000001, 3975414.3343 3077940.645199999), (3918539.9000000004 3093738.3158, 3925197.512 3087208.680400001, 3932557.7106999997 3090371.024, 3929927.3838 3102384.6772000007, 3919617.4396 3102383.1011999995, 3918539.9000000004 3093738.3158))",3940337.521253791,3098913.9495673464,0.8328440660954224,Significant,0.002,1
17,BE25,Prov. West-Vlaanderen,Prov. West-Vlaanderen,30700.0,"POLYGON ((3860314.060799999 3093300.2357, 3850312.1163 3089334.6119, 3847393.8836000003 3093501.1753000002, 3840321.6635999996 3094043.8906999994, 3835046.9453999996 3097095.6535, 3829391.7752 3097020.708799999, 3825444.3280999996 3100125.0475999992, 3817696.6369000003 3095005.2815000005, 3817784.9420999996 3090853.9849999994, 3803955.8708999995 3105280.812999999, 3802065.476500001 3115282.907400001, 3800998.5786000006 3125219.9060999993, 3799789.3935000002 3135288.8575, 3814726.499399999 3141880.0538, 3841458.8935000002 3156115.8939999994, 3859737.4079 3160854.8641999997, 3859809.09 3150168.8783, 3860769.2536999993 3137293.205, 3854609.535700001 3131033.4789000005, 3861710.3331000004 3119395.4617, 3858911.353 3109635.6074, 3862109.1016000006 3108360.1833999995, 3863547.7203 3097601.5012999997, 3860314.060799999 3093300.2357))",3834301.4277711697,3123043.288819537,0.4614841009796002,Significant,0.018,1
18,BE31,Prov. Brabant Wallon,Prov. Brabant Wallon,36445.0,"POLYGON ((3969815.4625000004 3082969.7423, 3966445.1066999994 3071096.3114, 3937006.9835 3062047.7117, 3920528.898 3067624.2635999992, 3914135.362299999 3069805.2258, 3906395.4640999995 3080538.7991000004, 3904759.061899999 3082815.9409999996, 3908080.0058999993 3084449.9136999995, 3915210.3296000008 3080759.5932, 3940202.0856999997 3086499.6657999996, 3950947.833799999 3089445.1569999997, 3969815.4625000004 3082969.7423))",3939925.77590091,3076084.9416295704,0.9728262879264062,Significant,0.006,1
19,BE32,Prov. Hainaut,Prov. Hainaut,20345.0,"MULTIPOLYGON (((3860314.060799999 3093300.2357, 3865687.0146999992 3089223.4005999994, 3882297.8422 3089365.112400001, 3885115.6599000003 3089441.899599999, 3890599.4667000007 3086994.191299999, 3893996.043299999 3082090.7793000005, 3904759.061899999 3082815.9409999996, 3906395.4640999995 3080538.7991000004, 3914135.362299999 3069805.2258, 3920528.898 3067624.2635999992, 3937006.9835 3062047.7117, 3936418.6052 3045888.3762, 3935995.9952000007 3037466.4749, 3927977.9253000002 3038768.3517000005, 3917497.8758000005 3030970.9755000006, 3921742.4297 2996168.7018, 3907618.9147999994 2999071.3099000007, 3901203.5385999996 3001917.1602, 3906801.6226000004 3012746.9146, 3906668.8485000003 3030336.4782, 3898139.7984999996 3042375.0494999997, 3896518.9996000007 3044671.3225, 3874198.5286999997 3043050.4312999994, 3871760.4505000003 3051082.309699999, 3871119.5032 3058361.0966, 3868536.232000001 3061788.467599999, 3863949.8621999994 3062907.0984000005, 3847376.6117000002 3067260.2842999995, 3844678.012599999 3088813.8804, 3840321.6635999996 3094043.8906999994, 3847393.8836000003 3093501.1753000002, 3850312.1163 3089334.6119, 3860314.060799999 3093300.2357)), ((3829391.7752 3097020.708799999, 3817784.9420999996 3090853.9849999994, 3817696.6369000003 3095005.2815000005, 3825444.3280999996 3100125.0475999992, 3829391.7752 3097020.708799999)))",3893739.6588782496,3057432.8397995736,-0.20146493387239783,Significant,0.006,2
